pais,categoria,sub_categoria,laboratorio,producto,mkt_am1,mkt_am2,mkt_am3,mkt_am4,mkt_am5,ms_am1,ms_am2,ms_am3,ms_am4,ms_am5,es_genomma,er_aplicado,mkt_usd_am1,mkt_usd_am2,mkt_usd_am3,mkt_usd_am4,mkt_usd_am5,pais_nombre
COL,4.VMS,22.VITAMINA A+D,HEALTHY,VITAMINA A +VITAMINA D HHY,37162324.59,40450989.0,33302218.0,17273647.0,30050748.0,0.0018292836833526,0.00210442729284461,0.00174600491524534,0.000798044040935167,0.00149866411579797,False,3721.9522580645153,9984.632261061055,10868.218127288734,8947.51347974511,4641.017885861496,8073.920866364619,Colombia
COL,4.VMS,22.VITAMINA A+D,LAB. BONTAL SAS,GOMAS THE GUMMY,10009902.08,,,,,0.000492728879286215,,,,,False,3721.9522580645153,2689.422482061964,,,,,Colombia
COL,4.VMS,22.VITAMINA A+D,NATURAL FRESHLY,ACEITE HIGADO BACALAO N.F,54457765.52,15314805.0,13836366.0,9647311.0,16534845.0,0.00268063698911839,0.000796739323891268,0.000725428049421016,0.00044570663361352,0.000824611050007193,False,3721.9522580645153,14631.5056572808,4114.723655258272,3717.5022785475408,2592.002887489154,4442.519369820834,Colombia
COL,4.VMS,22.VITAMINA A+D,PROCAPS CONSUMO,AHB,446397048.973,783009826.103,760137009.283,881434929.614,1175884114.773,0.0219735134169404,0.0407354007739259,0.0398532900862041,0.040722372817423,0.0586426443410714,False,3721.9522580645153,119936.26409521297,210376.1068956268,204230.72532324353,236820.58997510155,315932.0789849362,Colombia
COL,4.VMS,23.POLIVIT+MINER.PEDIATRIC.,CARNOT,ZILER KIDS,23098183.77,54036238.0,72779546.0,115053275.0,128311558.0,0.00832886644544012,0.0170076112647481,0.0179246604983995,0.0204246217850693,0.0256337340738373,False,3721.9522580645153,6205.9323087640805,14518.251243797484,19554.132066660823,30912.077055988313,34474.26218914597,Colombia
COL,4.VMS,23.POLIVIT+MINER.PEDIATRIC.,COMESTIBLES ALDOR S.A,VIVAVITA KIDS,13172.0,,34915125.0,66240231.0,35705056.0,4.74963009697005e-06,,0.00859914352700389,0.0117591756091308,0.00713305897661589,False,3721.9522580645153,3.5390029443445052,,9380.863208104802,17797.173743020056,9593.098869722551,Colombia
COL,4.VMS,23.POLIVIT+MINER.PEDIATRIC.,LAB. BIOFREN,NOVOACTIV,1413189.65,,,,,0.000509575470267733,,,,,False,3721.9522580645153,379.69042911229735,,,,,Colombia
COL,4.VMS,23.POLIVIT+MINER.PEDIATRIC.,NATURAL FRESHLY,CRE-C,3335960.16,7240029.0,13496222.0,18687986.0,24817504.0,0.00120289832813764,0.00227875964972808,0.00332394485342119,0.00331755046498824,0.00495797345015789,False,3721.9522580645153,896.2931087500734,1945.2235004661104,3626.11368019489,5021.017117967574,6667.872739696442,Colombia
COL,4.VMS,23.POLIVIT+MINER.PEDIATRIC.,NOVOFAR LAB SAS,NOVOACTIV KIDS,6032383.79,6887603.0,7030854.0,11309774.0,7107717.0,0.00217518915923613,0.0021678354879167,0.00173160836924999,0.00200774690181232,0.00141996037060116,False,3721.9522580645153,1620.7579710162518,1850.5350209896787,1889.023155728541,3038.667133758802,1909.6744147105599,Colombia
COL,4.VMS,23.POLIVIT+MINER.PEDIATRIC.,PADEL,PHOCEBRIDEL,83344.65,596190.0,1470092.0,2149216.0,13457840.0,3.0052858947877e-05,0.000187647551628782,0.000362064638345136,0.000381535631510007,0.0026885706723961,False,3721.9522580645153,22.39272409242046,160.18206539544113,394.9787364452857,577.4431940504343,3615.8013501759233,Colombia
COL,4.VMS,23.POLIVIT+MINER.PEDIATRIC.,PHARMADES,VITADES,20296149.98,22967623.0,33488056.0,38269690.0,22892050.0,0.00731849413890269,0.00722893410269026,0.00824767489689193,0.00679375658000043,0.0045733114869121,False,3721.9522580645153,5453.092509723479,6170.853736835301,8997.443727936052,10282.154994621278,6150.549070154998,Colombia
COL,4.VMS,23.POLIVIT+MINER.PEDIATRIC.,PROCAPS,GUMIVIT PROBIOTIC,445588292.261,570069015.754,1149541542.878,1936040198.242,1618348978.744,0.160672605813873,0.179426114268384,0.283117208300455,0.343691987992375,0.3233093573674,False,3721.9522580645153,119718.97041277854,153163.9785327194,308854.4567940759,520167.92908804724,434811.8585447874,Colombia
COL,4.VMS,23.POLIVIT+MINER.PEDIATRIC.,PROCAPS,PEDIAVIT,1022693181.07,906379099.0,1091584199.0,1615116600.0,1475876740.0,0.368768168294573,0.285277879157402,0.268843064402908,0.286720614374402,0.294846641008926,False,3721.9522580645153,274773.320601866,243522.4946897449,293282.69771188416,433943.3952975772,396532.9584231377,Colombia
COL,4.VMS,23.POLIVIT+MINER.PEDIATRIC.,PROCAPS,PEDIAVIT ZINC,1143121579.04,1571285034.0,1552032945.0,1628569919.0,1439361651.0,0.412192883108436,0.494553396637059,0.382245632879548,0.289108890173843,0.287551755842708,False,3721.9522580645153,307129.5652874507,422166.89657838264,416994.3184083415,437557.9819626399,386722.2229627671,Colombia
COL,4.VMS,23.POLIVIT+MINER.PEDIATRIC.,TIENDA NAC COLOMB,ENERVIT,97712834.53,29859063.0,63323977.0,140839728.0,94438544.0,0.0352338156501627,0.00939797726543478,0.015595876197599,0.0250023145948,0.0188666754651704,False,3721.9522580645153,26253.113354229994,8022.419668415433,17013.64569166442,37840.283333789805,25373.389407501378,Colombia
COL,4.VMS,23.POLIVIT+MINER.PEDIATRIC.,VELEZGO,PHOSCEBRIN,9880327.09,6652100.0,38516955.0,51802018.0,57963327.0,0.00356270110192625,0.00209371220280418,0.00948622765257608,0.00919605830736546,0.0115797558186681,False,3721.9522580645153,2654.60876576046,1787.2609691826667,10348.589215926573,13917.969497797378,15573.366604692026,Colombia
COL,5.LAGRIMAS ARTIFICIALES,24.CUIDADO OCULAR,ABBOTT EPD,LACRISYN,3792239.29,292885171.0,376260716.0,444141617.02,345206689.73,3.79593297039664e-05,0.00353498935991302,0.00523656503799807,0.0069380793743388,0.00620740959791245,False,3721.9522580645153,1018.8844528521802,78691.27562434284,101092.3004680513,119330.28320222515,92748.82260567037,Colombia
COL,5.LAGRIMAS ARTIFICIALES,24.CUIDADO OCULAR,ABBVIE,ALBASOL,520362375.49,564517480.0,610402978.0,609892983.0,612674220.0,0.0052086921384025,0.00681346644649657,0.00849521291424083,0.00952733489443688,0.0110169354962272,False,3721.9522580645153,139808.98716863128,151672.4129861783,164000.754356108,163863.73083601985,164610.98303249115,Colombia
COL,5.LAGRIMAS ARTIFICIALES,24.CUIDADO OCULAR,ABBVIE,LACRIL,90600808.89,84372017.0,99710261.0,126455143.0,153512570.0,0.000906890550174528,0.00101833145512649,0.0013877060359452,0.00197539655327516,0.00276041985502517,False,3721.9522580645153,24342.281310484654,22668.75315694539,26789.77431372298,33975.48765597521,41245.174402056786,Colombia
COL,5.LAGRIMAS ARTIFICIALES,24.CUIDADO OCULAR,ABBVIE,OPTIVE,2015771140.31,1837489633.0,1839444255.0,1946858973.0,2146120153.0,0.0201773452230562,0.0221776550838263,0.0256002528711485,0.0304125116127307,0.0385909289487555,False,3721.9522580645153,541589.7358549781,493689.7374270805,494214.8978441076,523074.67640984815,576611.4136337747,Colombia
COL,5.LAGRIMAS ARTIFICIALES,24.CUIDADO OCULAR,ABBVIE,OPTIVE FUSION,6239336861.11,5291401325.01,4364854607.0,4222672900.0,3391086790.0,0.0624541403991902,0.0638647812693118,0.0607473596339007,0.0659637346048347,0.0609775688416237,False,3721.9522580645153,1676361.3363365848,1421673.6159215616,1172732.5619350653,1134531.7207792099,911104.3223760824,Colombia
COL,5.LAGRIMAS ARTIFICIALES,24.CUIDADO OCULAR,ABBVIE,OPTIVE UD,115489.57,,1630010.0,1346530.0,,1.15602058038888e-06,,2.26854758273176e-05,2.10345792015877e-05,,False,3721.9522580645153,31.02929913992415,,437.9448974575605,361.7805674649413,,Colombia
COL,5.LAGRIMAS ARTIFICIALES,24.CUIDADO OCULAR,ABBVIE,REFRESH LIQUIGEL,846424.85,21007466.0,69433051.0,103144916.0,113760104.0,8.47249276581919e-06,0.000253550456430362,0.000966326464302313,0.00161125998295108,0.00204560219264995,False,3721.9522580645153,227.41421472186124,5644.206197025288,18655.008497101593,27712.584377328174,30564.632782032884,Colombia
COL,5.LAGRIMAS ARTIFICIALES,24.CUIDADO OCULAR,ABBVIE,REFRESH TEARS,2983987963.93,2866699503.0,2007690802.0,2356406762.0,2260154068.0,0.0298689439915292,0.0345997450351385,0.0279418047481297,0.0368101896477953,0.0406414547337922,False,3721.9522580645153,801726.5555904065,770213.9372660136,539418.7412398559,633110.421256552,607249.6129155946,Colombia
COL,5.LAGRIMAS ARTIFICIALES,24.CUIDADO OCULAR,ALCON,GENTEAL COLIRIO,179756.0,68368111.0,435299093.0,443807082.0,503030443.0,1.79931084208196e-06,0.000825171667507715,0.00605822482801013,0.00693285349494964,0.00904535193788566,False,3721.9522580645153,48.296159525022084,18368.884461605827,116954.50742465022,119240.40160332093,135152.30935863353,Colombia
COL,5.LAGRIMAS ARTIFICIALES,24.CUIDADO OCULAR,ALCON,SYSTANE,6994737265.2,5526072896.0,5202036377.0,4877725887.05,4618317859.0,0.0700155021183664,0.0666971592408266,0.0723987401815084,0.0761965284804556,0.0830452927392261,False,3721.9522580645153,1879319.4485620281,1484724.282539202,1397663.381019604,1310528.8700254604,1240832.1060522178,Colombia
COL,5.LAGRIMAS ARTIFICIALES,24.CUIDADO OCULAR,ALCON,SYSTANE BALANCE,1903675644.51,1632841465.0,1585985160.0,1567638133.0,1647697082.0,0.019055298443302,0.0197076457831311,0.0220727652036886,0.0244885806242843,0.0296284254782513,False,3721.9522580645153,511472.34368340526,438705.6447223501,426116.47061393043,421187.06106542086,442696.99548936,Colombia
COL,5.LAGRIMAS ARTIFICIALES,24.CUIDADO OCULAR,ALCON,SYSTANE COMPLETE,4128339118.14,3176377058.0,2576536654.0,1846303940.0,1124700710.0,0.0413236016325484,0.0383374107496272,0.0358586511631922,0.0288417090270053,0.020224051820935,False,3721.9522580645153,1109186.4784656893,853416.9268607909,692254.0847796493,496057.93196286523,302180.3161400209,Colombia
COL,5.LAGRIMAS ARTIFICIALES,24.CUIDADO OCULAR,ALCON,SYSTANE HA,4828137835.12,3105942782.0,2221163783.0,1901384056.0,1596041325.0,0.0483284049144258,0.0374873014204896,0.0309127902943908,0.0297021332748384,0.0286995661851709,False,3721.9522580645153,1297205.7405246573,834492.9130324601,596773.8511925584,510856.6483839734,428818.32284167217,Colombia
COL,5.LAGRIMAS ARTIFICIALES,24.CUIDADO OCULAR,ALCON,SYSTANE ULTRA,14817476548.636,12911259294.0,12132044616.0,10572582828.0,9523034769.0,0.14831908924462,0.155832963722728,0.168846329085225,0.165157724566784,0.171240532657636,False,3721.9522580645153,3981103.335361256,3468948.121519994,3259591.680606051,2840601.408868673,2558612.8216357497,Colombia
COL,5.LAGRIMAS ARTIFICIALES,24.CUIDADO OCULAR,ALCON,TEARS NATURALE,518001575.94,489406140.0,520062298.0,597613376.0,685506183.0,0.00518506114847005,0.00590690710516068,0.0072379069392079,0.00933551119499768,0.0123265793693358,False,3721.9522580645153,139174.69650977483,131491.78336169748,139728.3634880481,160564.49265439264,184179.19829967836,Colombia
COL,5.LAGRIMAS ARTIFICIALES,24.CUIDADO OCULAR,ANDREC SURGICAL,IALUVIT,41596702.52,,,,,0.000416372181396415,,,,,False,3721.9522580645153,11176.04408543141,,,,,Colombia
